lemma,upos,lexical_class
бизнес,NOUN,general
билет,NOUN,everyday
билингв,NOUN,specialized
билингвизм,NOUN,specialized
бинт,NOUN,everyday
биография,NOUN,specialized
биологический,ADJ,specialized
биология,NOUN,general
биосигнатура,NOUN,specialized
биржа,NOUN,general
бирка,NOUN,everyday
битва,NOUN,everyday
биткоин,NOUN,general
бить,VERB,everyday
благо,NOUN,everyday
благодарить,VERB,everyday
благодарность,NOUN,general
благодарный,ADJ,general
благодаря,ADP,general
благополучие,NOUN,general
благополучно,ADV,specialized
благоприятный,ADJ,specialized
благотворительность,NOUN,everyday
благотворительный,ADJ,general
блаженный,PROPN,everyday
бланк,NOUN,everyday
бледный,ADJ,everyday
блестеть,VERB,everyday
блестящий,ADJ,everyday
ближайший,ADJ,general
ближний,ADJ,general
близ,ADP,general
близкий,ADJ,general
близко,ADV,general
близнец,NOUN,specialized
близость,NOUN,general
блин,NOUN,everyday
блинчик,NOUN,everyday
блогер,NOUN,general
блок,NOUN,general
блокировать,VERB,general
блокнот,NOUN,everyday
блошиный,ADJ,everyday
блузка,NOUN,everyday
блюдо,NOUN,everyday
блёстка,NOUN,everyday
боас,PROPN,specialized
бобёр,NOUN,everyday
бог,NOUN,general
бог,PROPN,general
богатеть,VERB,everyday
богатый,ADJ,general
богослужение,NOUN,everyday
бодро,ADV,general
боевой,ADJ,general
божий,ADJ,everyday
бой,NOUN,general
бойлер,NOUN,everyday
бок,NOUN,everyday
бокал,NOUN,everyday
боковой,ADJ,everyday
болгария,PROPN,everyday
болгарский,ADJ,specialized
более,ADV,general
болезненный,ADJ,general
болезнетворный,ADJ,specialized
болезнь,NOUN,general
болельщик,NOUN,everyday
болеть,VERB,general
болото,NOUN,specialized
болтать,VERB,general
боль,NOUN,general
больница,NOUN,general
больничный,ADJ,general
больно,ADV,general
больше,ADV,general
больший,ADJ,general
большинство,NOUN,general
большой,ADJ,general
большой,PROPN,general
болячка,NOUN,general
бонапарт,PROPN,specialized
бонус,NOUN,everyday
бонусный,ADJ,general
борис,PROPN,general
борода,NOUN,everyday
бороться,VERB,general
борт,NOUN,everyday
бортик,NOUN,everyday
борьба,NOUN,general
босиком,ADV,everyday
ботвинник,PROPN,everyday
ботинок,NOUN,everyday
боулби,PROPN,specialized
бояться,VERB,general
брак,NOUN,general
браконьерство,NOUN,everyday
брасс,NOUN,everyday
брат,NOUN,everyday
брать,VERB,everyday
браться,VERB,general
брачный,ADJ,specialized
бревно,NOUN,everyday
брелок,NOUN,everyday
бригада,NOUN,general
бриллиантовый,ADJ,everyday
британский,ADJ,general
бровь,NOUN,everyday
брод,NOUN,specialized
бродить,VERB,everyday
броненосец,NOUN,specialized
бронза,NOUN,everyday
бронзовый,ADJ,general
бронирование,NOUN,general
бронировать,VERB,everyday
бронь,NOUN,everyday
броня,NOUN,everyday
бросать,VERB,general
бросаться,VERB,general
бросить,VERB,general
брусника,NOUN,everyday
брюки,NOUN,everyday
брюмер,NOUN,specialized
брючный,ADJ,everyday
бугристый,ADJ,specialized
буддизм,NOUN,specialized
буддийский,ADJ,everyday
будильник,NOUN,everyday
будить,VERB,everyday
будни,NOUN,everyday
будний,ADJ,general
будто,PART,general
будто,SCONJ,general
будущее,NOUN,general
будущий,ADJ,general
буква,NOUN,general
буквально,ADV,everyday
буквальный,ADJ,general
букет,NOUN,general
булавка,NOUN,everyday
булгаков,PROPN,general
булгаковский,ADJ,specialized
булочная,NOUN,everyday
булькать,VERB,everyday
бульон,NOUN,everyday
бумага,NOUN,general
бумажка,NOUN,general
бумажный,ADJ,general
бунтовать,VERB,specialized
бурлак,NOUN,specialized
бурлить,VERB,everyday
бурно,ADV,everyday
бутерброд,NOUN,everyday
бутылка,NOUN,general
буфет,NOUN,everyday
буханка,NOUN,everyday
бухгалтер,NOUN,everyday
бухгалтерия,NOUN,general
бухгалтерша,NOUN,general
бы,AUX,general
бы,PART,general
бывать,VERB,general
бывший,ADJ,general
быстро,ADV,general
быстрорастущий,ADJ,general
быстрый,ADJ,general
быт,NOUN,general
бытовой,ADJ,general
быть,AUX,general
быть,VERB,general
бычков,PROPN,everyday
бюджет,NOUN,general
бюллетень,NOUN,everyday
бюро,NOUN,everyday
бюро,PROPN,general
в,ADP,general
в-третьих,ADV,general
вавилонский,ADJ,specialized
вагон,NOUN,everyday
вагонетка,NOUN,specialized
важный,ADJ,general
вазочка,NOUN,everyday
вай-фай,NOUN,everyday
вайнрайх,PROPN,specialized
вакансия,NOUN,general
вакуумный,ADJ,everyday
вакцина,NOUN,general
вакцинация,NOUN,general
валдайский,PROPN,everyday
валенок,NOUN,everyday
валентина,PROPN,general
валика,NOUN,everyday
валиться,VERB,everyday
валовой,ADJ,general
валюта,NOUN,general
валютный,ADJ,general
валяться,VERB,everyday
ваниль,NOUN,everyday
ванильный,ADJ,everyday
ванна,NOUN,specialized
ванная,NOUN,everyday
варежка,NOUN,everyday
варенье,NOUN,everyday
вариант,NOUN,general
варить,VERB,general
вариться,VERB,general
варьироваться,VERB,general
варёный,ADJ,everyday
василий,PROPN,everyday
васильевич,PROPN,everyday
вата,NOUN,everyday
ватикан,PROPN,specialized
ватный,ADJ,general
ваш,DET,general
вбрасывание,NOUN,everyday
введение,NOUN,general
вверх,ADV,everyday
ввести,VERB,general
вводить,VERB,general
ввозить,VERB,everyday
вглубь,ADV,specialized
вдавить,VERB,everyday
вдаль,ADV,general
вдвое,ADV,everyday
вдоль,ADP,general
вдохновение,NOUN,everyday
вдохновить,VERB,specialized
вдруг,ADV,everyday
вдыхать,VERB,everyday
веганка,NOUN,everyday
ведомство,NOUN,general
ведро,NOUN,everyday
ведущий,ADJ,general
ведущий,NOUN,everyday
ведь,PART,general
ведь,SCONJ,general
ведьма,NOUN,specialized
вежливо,ADV,general
вежливость,NOUN,everyday
везде,ADV,everyday
везти,VERB,everyday
везувия,PROPN,specialized
век,NOUN,general
великий,ADJ,general
великобритания,PROPN,general
величественный,ADJ,everyday
величина,NOUN,general
велодорожка,NOUN,everyday
велосипед,NOUN,everyday
велосипедист,NOUN,everyday
вельможа,NOUN,specialized
венеция,PROPN,general
веник,NOUN,everyday
венская,PROPN,specialized
вентиляция,NOUN,everyday
венчик,NOUN,everyday
вера,NOUN,general
вера,PROPN,everyday
веранда,NOUN,everyday
верба,NOUN,everyday
веретенник,NOUN,everyday
верить,VERB,general
верность,NOUN,general
вернуть,VERB,general
вернуться,VERB,general
верный,ADJ,general
вероника,NOUN,everyday
вероника,PROPN,everyday
вероятно,ADV,general
вероятность,NOUN,general
версия,NOUN,general
верующий,NOUN,specialized
верхний,ADJ,general
верховенство,NOUN,specialized
верховный,ADJ,general
вершина,NOUN,general
верёвка,NOUN,general
вес,NOUN,general
веселиться,VERB,everyday
весло,NOUN,everyday
весна,NOUN,everyday
веснушка,NOUN,everyday
вести,VERB,general
вестибюль,NOUN,everyday
вестись,VERB,everyday
весы,NOUN,everyday
весь,DET,general
весь,PRON,general
весёлый,ADJ,general
ветвистый,ADJ,specialized
ветвь,NOUN,specialized
ветер,NOUN,everyday
ветеран,NOUN,general
ветеринар,NOUN,general
ветеринарный,ADJ,everyday
ветка,NOUN,everyday
ветреный,ADJ,general
ветряной,ADJ,specialized
ветшать,VERB,everyday
веха,NOUN,specialized
вечер,NOUN,everyday
вечеринка,NOUN,everyday
вечерний,ADJ,general
вечно,ADV,everyday
вечный,ADJ,general
вешалка,NOUN,everyday
вешать,VERB,everyday
вещество,NOUN,general
вещь,NOUN,everyday
вживую,ADV,everyday
взаимно,ADV,general
взаимный,ADJ,general
взаимодействие,NOUN,general
взаимодействовать,VERB,general
взаимозависимость,NOUN,specialized
взаимопонимание,NOUN,specialized
взамен,ADP,general
взбивать,VERB,everyday
взбить,VERB,everyday
взвесить,VERB,general
взвести,VERB,everyday
взвешивать,VERB,specialized
взвешиваться,VERB,general
взволнованно,ADV,everyday
взгляд,NOUN,general
взглянуть,VERB,everyday
вздрагивать,VERB,everyday
вздумать,VERB,everyday
взлететь,VERB,everyday
взломать,VERB,general
взлёт,NOUN,everyday
взнос,NOUN,general
взорваться,VERB,everyday
взрослый,ADJ,general
взрослый,NOUN,general
взрываться,VERB,everyday
взятие,NOUN,everyday
взятка,NOUN,everyday
вибрировать,VERB,general
вид,NOUN,general
видео,NOUN,general
видеоассистент,NOUN,everyday
видеозвонок,NOUN,general
видеоигра,NOUN,general
видеонаблюдение,NOUN,everyday
видеоплатформа,NOUN,specialized
видеопроекция,NOUN,specialized
видеоролик,NOUN,general
видеосвязь,NOUN,everyday
видеоурок,NOUN,everyday
видеть,VERB,general
видеться,VERB,everyday
видимо,ADV,general
видимость,NOUN,specialized
видимый,ADJ,specialized
видно,ADV,general
видный,ADJ,everyday
виза,NOUN,everyday
византийский,ADJ,specialized
византия,PROPN,specialized
визит,NOUN,general
визуальный,ADJ,specialized
виктор,PROPN,general
виктория,PROPN,everyday
викторович,PROPN,general
вилок,NOUN,everyday
вина,NOUN,general
виноватый,ADJ,general
винт,NOUN,everyday
виртуальный,ADJ,general
вирус,NOUN,general
вирусный,ADJ,general
висеть,VERB,everyday
висок,NOUN,general
високосный,ADJ,specialized
витамин,NOUN,everyday
виток,NOUN,specialized
витрина,NOUN,general
витрувия,PROPN,specialized
вишня,NOUN,everyday
вклад,NOUN,general
вкладка,NOUN,general
вкладывать,VERB,specialized
включать,VERB,general
включаться,VERB,general
включая,ADV,general
включение,NOUN,general
включительно,ADV,everyday
включить,VERB,general
вкус,NOUN,general
вкусный,ADJ,everyday
влага,NOUN,everyday
владелец,NOUN,general
владение,NOUN,specialized
владеть,VERB,general
владивосток,PROPN,general
владивостокский,ADJ,specialized
владимир,PROPN,general
владимирский,PROPN,specialized
владычество,NOUN,specialized
влажность,NOUN,specialized
влажный,ADJ,general
власть,NOUN,general
влезть,VERB,everyday
влияние,NOUN,general
влиятельный,ADJ,specialized
влиять,VERB,general
вложение,NOUN,everyday
вложить,VERB,general
влюбиться,VERB,everyday
вместе,ADV,general
вместо,ADP,general
вмешательство,NOUN,specialized
вне,ADP,general
внедрить,VERB,specialized
внезапно,ADV,general
внезапный,ADJ,general
внесение,NOUN,everyday
внести,VERB,general
внеучебный,ADJ,general
внешний,ADJ,general
внешность,NOUN,general
вниз,ADV,general
внизу,ADV,general
внимание,NOUN,general
внимательно,ADJ,everyday
внимательно,ADV,general
внимательный,ADJ,general
вничью,ADV,everyday
вновь,ADV,general
вносить,VERB,general
внук,NOUN,everyday
внутренне,ADV,general
внутренний,ADJ,general
внутри,ADV,general
внутрь,ADV,everyday
во-вторых,ADV,general
во-первых,ADV,general
вобрать,VERB,specialized
вовлечённость,NOUN,general
вовремя,ADV,general
вовсе,ADV,general
вода,NOUN,everyday
водитель,NOUN,general
водительский,ADJ,everyday
водить,VERB,everyday
водный,ADJ,everyday
водолазка,NOUN,everyday
водопад,NOUN,everyday
водопроводный,ADJ,everyday
водораздел,NOUN,specialized
водоросль,NOUN,everyday
водоснабжение,NOUN,everyday
водохранилище,NOUN,everyday
водоём,NOUN,everyday
водяной,ADJ,specialized
военнослужащий,NOUN,everyday
военный,ADJ,general
вождение,NOUN,everyday
воз,NOUN,everyday
воз,PROPN,general
возбуждение,NOUN,everyday
возводить,VERB,specialized
возврат,NOUN,general
возвращать,VERB,general
возвращаться,VERB,general
возвращение,NOUN,general
возвышенность,NOUN,everyday
возглавить,VERB,specialized
воздействовать,VERB,specialized
воздух,NOUN,general
воздушный,ADJ,general
возле,ADP,general
возмещение,NOUN,general
возможно,ADV,general
возможность,NOUN,general
возможный,ADJ,general
возмущаться,VERB,specialized
вознаграждение,NOUN,general
возникать,VERB,general
возникновение,NOUN,specialized
возникнуть,VERB,specialized
возня,NOUN,everyday
возобновить,VERB,general
возобновление,NOUN,everyday
возобновлять,VERB,everyday
возражать,VERB,general
возражение,NOUN,everyday
возразить,VERB,everyday
возраст,NOUN,general
возрастание,NOUN,specialized
возрастать,VERB,specialized
возрасти,VERB,everyday
возрастной,ADJ,specialized
возрождение,NOUN,general
воистину,ADV,everyday
войлочный,ADJ,everyday
война,NOUN,general
войско,NOUN,specialized
войти,VERB,general
вокзал,NOUN,general
вокруг,ADP,general
вокруг,ADV,general
волга,NOUN,everyday
волга,PROPN,everyday
волго-донский,ADJ,everyday
